n,single time,two time,four time,eight time,sixteen time,thirty two time
213,31382,33115,32673,33035,33802,35194,653617
214,32646,33623,34032,34487,33484,35398,665138
215,33583,33944,33711,34208,35247,36166,661408
216,33638,34530,34277,36394,36746,37465,678766
217,34221,35389,35023,35900,36831,36438,678977
218,34983,35921,35175,34225,36145,38498,680826
219,37352,36149,35783,35941,37255,37768,688282
220,36135,36691,36352,37092,37258,39466,706442
221,35902,36926,37452,36418,36554,39669,704887
222,36386,37210,36227,36701,37918,40146,720885
223,38161,37445,37017,37700,37964,39307,715068
224,37326,39157,37046,37451,38611,43147,737211
225,38002,39290,39919,38925,40476,40877,734758
226,39269,40343,39466,40186,39919,43170,735343
227,38840,43442,40043,40232,40570,43402,751766
228,41347,40608,40938,40870,42883,43490,762408
229,41662,41848,41292,41896,41772,43797,767529
230,40403,41872,41397,42152,42382,43559,772110
231,42127,42599,42709,41789,43388,42980,780668
232,43987,42357,42608,42948,43905,45228,788928
233,44162,44054,43498,44079,45382,45718,792042
234,44602,46050,42944,44224,44480,46593,806843
235,43829,44222,44858,44350,45204,48153,812365
236,43623,45556,45272,45348,45698,48927,832711
237,48108,46438,46033,48136,47487,47482,824512
238,45811,46176,45983,46461,47702,48236,821647
239,46944,47274,46471,47194,47044,49281,836320
240,46803,47943,47613,47476,47959,50763,832245
241,46889,47780,48668,47951,49510,50905,842505
242,50239,48418,48056,48855,48661,51412,858338
243,47831,49486,49462,48828,49991,49489,873601
244,50139,50513,50180,50020,51827,51724,867360
245,49574,51038,50305,50174,52063,53519,863649
246,52401,51872,50178,50800,51038,51940,870269
247,51104,51943,50082,50429,50958,53941,889974
248,52842,51862,52300,53205,53217,54570,905727
249,51896,52820,51333,53308,55286,56823,907369
250,51824,53330,53656,53178,52764,56641,914426
251,52294,54018,53491,53592,52574,57612,925246
252,54847,56227,54641,54370,55069,57251,930155
253,52542,54857,54660,55659,55187,58653,928533
254,55242,56071,53983,56165,55365,57699,948545
255,54800,59029,59552,56343,59543,61172,948808
256,57165,57428,56783,57607,58165,60735,968256
257,60472,58797,57452,58328,59019,60445,970643
258,58218,59605,58134,57944,59749,60948,983003
259,58247,60673,59634,58655,61116,62996,983066
260,58683,60679,60447,59621,60428,61647,992320
261,59724,61204,59013,63132,64760,64823,996546
262,60010,63238,61702,61391,62251,63687,1.01703e+06
263,61065,63025,63380,61816,61526,64376,1.02708e+06
264,62335,64351,62658,62802,65130,65518,1.02862e+06
265,63410,64995,63806,63974,64023,65016,1.03747e+06
266,64276,65094,66165,65829,66456,70630,1.05877e+06
267,86629,65288,64385,66231,65745,70986,1.06032e+06
268,64042,66465,66464,66905,68830,68221,1.09819e+06
269,66497,66796,66339,67612,67603,68701,1.06761e+06
270,69389,67970,64950,65728,65843,69283,1.08204e+06
271,67435,68084,67939,69553,70072,71053,1.07795e+06
272,67294,68195,69406,69868,72843,73860,1.10797e+06
273,68168,69731,71068,70946,71142,72325,1.09771e+06
274,69232,72067,71784,72089,71156,73722,1.10878e+06
275,70704,72479,70816,69473,72333,74863,1.11766e+06
276,68343,71896,70093,73316,73667,74261,1.12026e+06
277,71001,73380,72904,73103,73150,76515,1.14062e+06
278,71127,72783,72689,72960,73870,75985,1.13748e+06
279,74000,75649,74013,76335,75850,76866,1.15179e+06
280,74213,76525,75144,76998,75908,76218,1.17222e+06
281,77971,76476,74646,77730,78563,78766,1.18604e+06
282,79579,77387,77519,77914,78725,79576,1.18184e+06
283,80024,77876,77248,77178,79042,79590,1.17152e+06
284,77052,79004,79654,94055,81069,82219,1.21072e+06
285,80681,83364,78896,87295,86150,90183,1.23635e+06
