n,single time,two time,muti time
830,2.32872e+06,2.37528e+06,1.20191e+07
831,2.35253e+06,2.36608e+06,1.20655e+07
832,2.36467e+06,2.37698e+06,1.20899e+07
833,2.37753e+06,2.31668e+06,1.21532e+07
834,2.38054e+06,2.40791e+06,1.21497e+07
835,2.40718e+06,2.44668e+06,1.22004e+07
836,2.36211e+06,2.46954e+06,1.22221e+07
837,2.41128e+06,2.39969e+06,1.22746e+07
838,2.47541e+06,2.43948e+06,1.22971e+07
839,2.43865e+06,2.47842e+06,1.23548e+07
840,2.43789e+06,2.44681e+06,1.2356e+07
841,2.46673e+06,2.46305e+06,1.24088e+07
842,2.46452e+06,2.49338e+06,1.24311e+07
843,2.46922e+06,2.50608e+06,1.24815e+07
844,2.46432e+06,2.4801e+06,1.24842e+07
845,2.49697e+06,2.51626e+06,1.25082e+07
846,2.52787e+06,2.49668e+06,1.25766e+07
847,2.56525e+06,2.51717e+06,1.25884e+07
848,2.50987e+06,2.50859e+06,1.26133e+07
849,2.78378e+06,2.63188e+06,1.26419e+07
850,2.95465e+06,2.97634e+06,1.34622e+07
851,3.01012e+06,2.94134e+06,1.34291e+07
852,2.94732e+06,3.03534e+06,1.34525e+07
853,3.05277e+06,3.03742e+06,1.34404e+07
854,3.05294e+06,3.05366e+06,1.3511e+07
855,3.06799e+06,3.03563e+06,1.35577e+07
856,3.05584e+06,3.05762e+06,1.35579e+07
857,3.14473e+06,3.18272e+06,1.36725e+07
858,3.0988e+06,3.11371e+06,1.3658e+07
859,3.1405e+06,3.17649e+06,1.37235e+07
860,3.1624e+06,3.09554e+06,1.37586e+07
861,3.13954e+06,3.18842e+06,1.37735e+07
862,3.09616e+06,3.0875e+06,1.38017e+07
863,3.2224e+06,3.1592e+06,1.38598e+07
864,3.17339e+06,3.20478e+06,1.38405e+07
865,3.20125e+06,3.16076e+06,1.3881e+07
866,2.68448e+06,2.72998e+06,1.37804e+07
867,2.73008e+06,2.74766e+06,1.32437e+07
868,2.74363e+06,2.73272e+06,1.32827e+07
869,2.7471e+06,2.77199e+06,1.33439e+07
870,2.75141e+06,2.77645e+06,1.34052e+07
871,3.24785e+06,3.43272e+06,1.41491e+07
872,3.57367e+06,3.39899e+06,1.4445e+07
873,3.49844e+06,3.55622e+06,1.54261e+07
874,3.22155e+06,3.26151e+06,1.43092e+07
875,3.78879e+06,3.573e+06,1.43094e+07
876,3.65041e+06,3.99898e+06,1.58068e+07
877,3.30275e+06,3.54156e+06,1.49792e+07
878,3.47474e+06,3.47144e+06,1.5311e+07
879,3.47622e+06,3.43448e+06,1.45103e+07
880,3.76273e+06,3.91878e+06,1.46805e+07
881,3.84265e+06,3.79765e+06,1.53167e+07
882,3.76139e+06,3.82826e+06,1.528e+07
883,3.95741e+06,3.95712e+06,1.53904e+07
884,3.98104e+06,4.00144e+06,1.56339e+07
885,3.19894e+06,2.95405e+06,1.49962e+07
886,4.0641e+06,3.6983e+06,1.52611e+07
887,3.31079e+06,3.48059e+06,1.55805e+07
888,3.40319e+06,3.42384e+06,1.52777e+07
889,3.20662e+06,3.1229e+06,1.46595e+07
890,3.19773e+06,3.38242e+06,1.46845e+07
891,2.91086e+06,2.96511e+06,1.45248e+07
892,2.95946e+06,2.99033e+06,1.43545e+07
893,2.96765e+06,2.97257e+06,1.43662e+07
894,2.94848e+06,3.01132e+06,1.44959e+07
895,2.99124e+06,2.966e+06,1.44715e+07
896,3.03239e+06,3.03837e+06,1.45009e+07
897,2.99948e+06,3.04795e+06,1.45729e+07
898,3.18224e+06,3.06364e+06,1.47584e+07
899,3.03696e+06,3.05951e+06,1.4674e+07
900,3.13332e+06,3.10295e+06,1.45845e+07
901,3.03693e+06,3.00296e+06,1.4694e+07
902,3.02725e+06,3.10249e+06,1.4712e+07
903,3.10819e+06,3.09334e+06,1.4716e+07
904,3.08417e+06,3.07894e+06,1.47877e+07
905,3.10344e+06,3.09639e+06,1.48251e+07
906,3.2498e+06,3.12743e+06,1.48172e+07
907,3.1122e+06,3.15058e+06,1.49363e+07
908,3.12122e+06,3.13843e+06,1.48978e+07
909,3.15329e+06,3.12573e+06,1.49992e+07
910,3.14222e+06,3.09367e+06,1.49889e+07
911,3.34293e+06,3.19234e+06,1.50582e+07
912,3.19607e+06,3.184e+06,1.50558e+07
913,3.42136e+06,3.25353e+06,1.51688e+07
914,3.22174e+06,3.21433e+06,1.52115e+07
915,3.2632e+06,3.27885e+06,1.51858e+07
916,3.25628e+06,3.29555e+06,1.52407e+07
917,3.24407e+06,3.27042e+06,1.5261e+07
918,3.24506e+06,3.27749e+06,1.539e+07
919,3.29373e+06,3.30538e+06,1.53554e+07
920,3.31476e+06,3.26425e+06,1.53836e+07
921,3.36404e+06,3.32551e+06,1.54486e+07
922,3.35669e+06,3.36806e+06,1.54609e+07
923,3.34927e+06,3.3355e+06,1.5479e+07
924,3.36163e+06,3.39809e+06,1.55205e+07
925,3.41806e+06,3.38768e+06,1.55497e+07
926,3.41167e+06,3.40217e+06,1.57707e+07
927,3.44939e+06,3.36992e+06,1.568e+07
928,3.36184e+06,3.42856e+06,1.56695e+07
929,3.42665e+06,3.45124e+06,1.58104e+07
930,3.42819e+06,3.48737e+06,1.57453e+07
931,3.47676e+06,3.49752e+06,1.58838e+07
932,3.49807e+06,3.49871e+06,1.58441e+07
933,3.52118e+06,3.4616e+06,1.58838e+07
934,3.54499e+06,3.50715e+06,1.59436e+07
935,3.55081e+06,3.51118e+06,1.59438e+07
936,3.49709e+06,3.55683e+06,1.60309e+07
937,3.56713e+06,3.53335e+06,1.60376e+07
938,3.57978e+06,3.59745e+06,1.60885e+07
939,3.57947e+06,3.60354e+06,1.60967e+07
940,3.27574e+06,3.34967e+06,1.61615e+07
941,3.11618e+06,3.11807e+06,1.58711e+07
942,3.12804e+06,3.12871e+06,1.59667e+07
943,3.18662e+06,3.13441e+06,1.59728e+07
944,3.15301e+06,3.17912e+06,1.598e+07
945,3.15312e+06,3.18029e+06,1.60684e+07
946,3.17247e+06,3.16184e+06,1.61191e+07
947,3.21262e+06,3.17618e+06,1.61132e+07
948,3.19182e+06,3.234e+06,1.61645e+07
949,3.2063e+06,3.2095e+06,1.62379e+07
950,3.25169e+06,3.27384e+06,1.63055e+07
951,3.28355e+06,3.25026e+06,1.63472e+07
952,3.26883e+06,3.27792e+06,1.63517e+07
953,3.58962e+06,3.29374e+06,1.63795e+07
954,3.74963e+06,3.73889e+06,1.71827e+07
955,3.76048e+06,3.81004e+06,1.66167e+07
956,3.81408e+06,3.77486e+06,1.67044e+07
957,3.78272e+06,3.81034e+06,1.67515e+07
958,3.81082e+06,3.85529e+06,1.67234e+07
959,3.83843e+06,3.81224e+06,1.6817e+07
960,3.80813e+06,3.87825e+06,1.68301e+07
961,3.99086e+06,3.83982e+06,1.69024e+07
962,3.85998e+06,3.85565e+06,1.68989e+07
963,3.85112e+06,3.86984e+06,1.69469e+07
964,3.82926e+06,3.87132e+06,1.7018e+07
965,3.95793e+06,3.89807e+06,1.707e+07
966,4.03999e+06,3.94462e+06,1.70405e+07
967,3.47063e+06,3.79663e+06,1.71452e+07
968,3.3472e+06,3.4021e+06,1.69038e+07
969,3.42168e+06,3.37486e+06,1.69612e+07
970,3.36606e+06,3.41729e+06,1.70301e+07
971,3.57466e+06,3.68683e+06,1.70442e+07
972,3.98864e+06,4.6693e+06,1.86074e+07
973,3.98408e+06,4.01051e+06,1.73787e+07
974,3.98763e+06,4.03076e+06,1.73804e+07
975,4.05075e+06,4.02062e+06,1.74182e+07
976,4.06439e+06,4.10671e+06,1.75238e+07
977,4.20687e+06,4.1069e+06,1.76495e+07
978,4.15679e+06,4.12362e+06,1.75565e+07
979,4.11199e+06,4.1688e+06,1.7643e+07
980,4.21802e+06,4.18968e+06,1.76768e+07
981,4.11611e+06,4.26295e+06,1.77241e+07
982,4.09553e+06,4.1601e+06,1.77863e+07
983,4.51081e+06,4.25166e+06,1.78027e+07
984,4.14309e+06,4.13569e+06,1.78607e+07
985,3.74491e+06,3.59082e+06,1.78986e+07
986,3.56009e+06,3.6205e+06,1.76793e+07
987,3.59943e+06,3.61802e+06,1.77069e+07
988,3.60856e+06,3.62631e+06,1.77253e+07
989,3.60506e+06,3.66711e+06,1.77556e+07
990,3.61416e+06,3.61853e+06,1.78021e+07
991,3.61568e+06,3.68084e+06,1.78926e+07
992,3.65872e+06,3.69067e+06,1.78867e+07
993,5.8856e+06,5.12504e+06,1.95747e+07
994,4.49377e+06,4.91159e+06,1.94015e+07
995,5.03998e+06,4.76221e+06,1.92227e+07
996,4.9683e+06,5.036e+06,1.87883e+07
997,4.99398e+06,5.1047e+06,1.93917e+07
998,5.37209e+06,5.26651e+06,2.04954e+07
999,4.607e+06,4.58911e+06,1.86722e+07
