n,single time,two time,muti time
290,83340,87146,1.25714e+06
291,83180,85940,1.27079e+06
292,87679,85750,1.26424e+06
293,85029,91044,1.28422e+06
294,83962,87606,1.29399e+06
295,84642,87782,1.30895e+06
296,88997,89927,1.33751e+06
297,90685,89555,1.33893e+06
298,88282,90656,1.31726e+06
299,89300,92326,1.34207e+06
300,88153,93039,1.34522e+06
301,93110,95129,1.36456e+06
302,90758,93866,1.41376e+06
303,96094,94959,1.36472e+06
304,93171,97154,1.39913e+06
305,98977,101668,1.39738e+06
306,98731,98674,1.40482e+06
307,99253,100002,1.41737e+06
308,101291,100733,1.42542e+06
309,101292,100053,1.43059e+06
310,101246,104168,1.45191e+06
311,103235,104392,1.4498e+06
312,101437,106873,1.46627e+06
313,103752,108165,1.48989e+06
314,105121,108181,1.48402e+06
315,105130,113659,1.48873e+06
316,108700,111368,1.49087e+06
317,103606,111443,1.51372e+06
318,109039,110256,1.51354e+06
319,109655,110566,1.53915e+06
320,114707,112516,1.54e+06
321,114679,114580,1.55012e+06
322,114164,115428,1.57946e+06
323,115804,115128,1.58495e+06
324,117260,121069,1.59483e+06
325,116947,117161,1.58816e+06
326,118838,119083,1.6042e+06
327,118525,119084,1.62038e+06
328,121112,120520,1.62139e+06
329,122191,125675,1.64426e+06
330,121856,123985,1.65046e+06
331,122908,128183,1.65148e+06
332,126404,128229,1.66444e+06
333,126650,127575,1.67138e+06
334,127314,129031,1.68714e+06
335,138893,129979,1.6837e+06
336,127887,129591,1.70517e+06
337,131060,134282,1.727e+06
338,128648,134996,1.73338e+06
339,131673,133206,1.72094e+06
340,132148,141814,1.7602e+06
341,132759,137701,1.76116e+06
342,137527,142157,1.76971e+06
343,135632,138552,1.77632e+06
344,141438,143079,1.80104e+06
345,135996,141704,1.80732e+06
346,140439,147074,1.80979e+06
347,140538,143702,1.84469e+06
348,143651,145564,1.85515e+06
349,147659,146779,1.84282e+06
350,147814,148339,1.8654e+06
351,149128,148928,1.88288e+06
352,148958,148889,1.90129e+06
353,148168,147596,1.89082e+06
354,151918,153373,1.90346e+06
355,150297,156149,1.91323e+06
356,151848,158197,1.92605e+06
357,156079,157617,1.95371e+06
358,157349,157831,1.95689e+06
359,158850,159461,1.97659e+06
360,156906,163451,1.99124e+06
361,159646,161841,1.98658e+06
362,162103,165002,1.99264e+06
363,162828,166282,2.03048e+06
364,165936,167923,2.01251e+06
365,166623,165549,2.0287e+06
