n,single time,two time,four time,eight time,sixteen time,thirty two time
153,12429,12239,18541,23652,23052,23573,28861
154,12224,12540,18539,22475,20487,24317,29276
155,12472,13149,12783,22112,20781,25065,29476
156,12809,13335,13768,23223,25448,21075,30594
157,13016,13715,15832,25805,20562,24120,31712
158,13305,13391,15708,25082,25216,24598,31290
159,13675,13600,16512,25496,24461,24913,32039
160,13726,14072,17193,25770,25826,26479,32222
161,13997,14343,17221,25687,22546,26971,33225
162,13871,14666,22522,25944,24068,26343,33717
163,14558,19361,17171,28561,25873,27356,34606
164,14820,15145,16517,26351,26407,27898,35141
165,15046,16873,15956,27004,27364,28221,35926
166,14642,17679,16588,30597,26100,30266,36089
167,15883,15937,16296,31021,29815,31884,38385
168,16426,16927,16125,31169,30306,26797,36640
169,16194,16968,16948,28786,29615,27508,38309
170,16714,17423,16671,29218,29268,31109,38172
171,16072,17835,17050,33850,30942,33679,39007
172,17043,19792,17619,33812,32872,34663,41058
173,16445,18058,17529,33998,31139,35554,40826
174,16181,20791,18019,34032,28559,33590,41414
175,19407,21078,18470,32528,29650,30642,41840
176,18354,18710,19239,33462,35421,37627,43037
177,18715,19313,19285,35294,31201,36285,43152
178,18922,20151,19397,34056,38638,37722,43242
179,19520,19840,19715,34015,36340,38024,44172
180,18234,20687,21266,39630,32608,35275,44477
181,18199,22416,20155,39717,39743,37750,46080
182,19777,20761,20547,39728,38713,41021,45962
183,20579,22567,17579,40421,41088,41618,46823
184,21146,22411,21103,41397,37354,40017,48673
185,21267,22515,21840,37959,40626,43320,49633
186,22600,23085,25195,39364,42643,44109,50270
187,21945,22365,24489,43177,41371,40515,49942
188,22333,22837,22736,44755,44779,44465,51358
189,22645,23093,23142,41883,42789,45350,52204
190,21611,23486,23504,46586,44391,46154,53035
191,23426,26624,23864,46851,44966,46993,54093
192,23744,24378,24115,44988,44885,47446,54941
193,21672,24702,24569,44937,42459,46603,55797
194,24558,25543,25027,48752,41071,46258,54795
195,25631,27362,31597,45355,49843,49727,56255
196,26116,26488,26672,44663,49255,51613,56989
197,26259,27110,26415,50436,45432,50582,58262
198,26028,26638,29232,52362,47849,50966,58311
199,26632,28443,27230,48373,45889,52206,61146
200,31663,27525,27099,51763,54509,51544,61373
201,30361,38947,36880,52327,46439,51018,61304
202,33069,31019,43402,55677,53686,51588,64714
203,31167,34517,29638,51757,50915,56427,64047
204,30126,37793,46020,53290,55493,55406,65845
205,32943,34367,34934,51898,56418,57471,63958
206,31769,33524,38447,59870,51245,55078,63854
207,32829,35761,30295,60242,54267,54628,67013
208,30961,33068,36930,52834,56224,57551,68864
209,28291,31501,31328,61559,60403,60909,69340
210,32259,31772,31764,63037,60404,60681,69571
211,28596,32985,33526,61703,60700,61843,70939
212,31408,32851,32801,61472,61868,63876,72038
213,29845,34330,33275,63072,66426,61487,72791
214,32989,33481,33444,58925,62998,64415,74765
215,33144,35685,34090,67758,67448,66676,74509
216,30828,34448,34547,61284,61806,69079,74951
217,36467,36727,35082,62220,65900,68053,75676
218,37756,37646,39002,62115,71225,71226,78229
219,37540,36222,36608,65506,68013,70397,79427
220,35974,38662,37207,72513,67635,71413,80597
221,32901,37134,36868,73057,74335,72637,80098
222,38773,37951,40679,74062,70109,67978,82103
223,40382,44201,41675,75112,69015,74819,84342
224,42018,39420,46945,77018,75739,70550,83814
225,39831,40899,46080,75632,68591,70009,84750
226,41456,39970,39879,75865,70766,65125,86082
227,45673,89328,53292,75487,80511,80496,89094
228,44846,40621,40915,79988,78864,82097,89191
229,47548,43682,43636,79217,78349,81779,89855
230,44648,43204,48274,64566,79113,81569,91785
231,41600,49390,42676,84150,79150,81609,91996
232,46186,44373,51970,80861,82476,85820,92689
233,45146,45951,67634,78717,73874,84859,91019
234,45310,70362,44134,86843,82413,87415,97416
235,43661,47470,44649,88441,84151,85487,94211
236,42508,44278,45089,82964,88271,90074,99037
237,42320,45270,46100,89018,92259,89902,99771
238,45255,45764,46535,80636,91165,90785,100538
239,45483,52436,48172,92448,90155,92977,101918
240,47899,49409,47447,92073,87844,95496,101585
241,49712,52785,50451,93270,91409,91931,104439
242,49145,48815,51245,94882,89049,89131,106501
243,49190,50814,49837,96327,91980,97004,107199
244,45468,57836,52321,99364,89893,96807,109742
245,51018,108299,70923,101964,102070,96416,109316
246,48240,51461,50965,97008,97440,98776,107047
247,54736,51387,53965,103143,100185,98516,112933
248,50788,53815,55378,95384,103736,102021,112621
249,54686,55749,56685,105020,102211,95156,117505
250,52037,54639,56670,106187,103038,108275,115533
251,54712,56250,57395,103820,106820,105631,118753
252,57053,57057,57757,105212,107368,111655,116901
253,50033,55306,55832,107280,111781,110907,120821
254,69389,54285,56095,103739,106917,108338,121579
255,51628,60466,57083,108510,110304,114704,125810
256,55523,56695,57748,114092,115236,109773,125739
257,54961,57908,58437,115071,113797,115322,126213
258,55119,56815,59223,111856,118019,118179,128059
259,53756,58927,60273,118663,116753,118611,129405
260,55143,58045,60173,115497,122492,119228,130919
261,54042,58246,60756,114158,124069,120769,131281
262,65876,59722,61621,112301,120789,118036,135011
263,68653,69433,66521,126261,120277,122552,135746
264,63478,67080,100431,117531,124974,122665,138776
265,68538,74156,71515,124878,120857,128720,139988
266,75076,72573,70961,131872,112518,130579,140511
